ID=-2 | Name=Miễn phí | Slug= | isFree=None | isDrm=None
ID=232 | Name=SCTV6 | Slug=sctv6 | isFree=1 | isDrm=0
ID=235 | Name=DreamWorks | Slug=dreamworks | isFree=0 | isDrm=3
ID=237 | Name=Bloomberg | Slug=bloomberg | isFree=0 | isDrm=3
ID=239 | Name=Cinemax | Slug=cinemax | isFree=0 | isDrm=3
ID=2458 | Name=TV360+ 4 | Slug=tv360-4 | isFree=0 | isDrm=3
ID=25 | Name=Vĩnh Long 1 | Slug=vinh-long-1 | isFree=1 | isDrm=0
ID=255 | Name=Đồng Nai | Slug=dong-nai | isFree=1 | isDrm=0
ID=2554 | Name=TV360+ 1 | Slug=tv360-1 | isFree=0 | isDrm=3
ID=26 | Name=Vĩnh Long 2 | Slug=vinh-long-2 | isFree=1 | isDrm=0
ID=271 | Name=HBO | Slug=hbo | isFree=0 | isDrm=3
ID=273 | Name=Warner TV | Slug=warner-tv | isFree=0 | isDrm=3
ID=275 | Name=CNN | Slug=cnn | isFree=0 | isDrm=3
ID=277 | Name=Cartoon | Slug=cartoon | isFree=0 | isDrm=3
ID=279 | Name=Discovery Channel | Slug=discovery-channel | isFree=0 | isDrm=3
ID=281 | Name=AXN | Slug=axn | isFree=0 | isDrm=3
ID=283 | Name=ABC Australia | Slug=abc-australia | isFree=0 | isDrm=3
ID=3 | Name=VTV2 HD | Slug=vtv2-hd | isFree=0 | isDrm=0
ID=31 | Name=YouTV | Slug=youtv | isFree=1 | isDrm=0
ID=32 | Name=HITV | Slug=hitv | isFree=1 | isDrm=0
ID=33 | Name=Hà Nội 1 | Slug=ha-noi-1 | isFree=1 | isDrm=0
ID=34 | Name=Hà Nội 2 | Slug=ha-noi-2 | isFree=1 | isDrm=0
ID=35 | Name=An Giang 2 | Slug=an-giang-2 | isFree=1 | isDrm=0
ID=39 | Name=Bắc Ninh | Slug=bac-ninh | isFree=1 | isDrm=0
ID=4 | Name=VTV3 HD | Slug=vtv3-hd | isFree=0 | isDrm=0
ID=45 | Name=Lâm Đồng 2 | Slug=lam-dong-2 | isFree=1 | isDrm=0
ID=46 | Name=Cà Mau | Slug=ca-mau | isFree=1 | isDrm=0
ID=47 | Name=Cần Thơ 1 | Slug=can-tho-1 | isFree=1 | isDrm=0
ID=48 | Name=Cao Bằng | Slug=cao-bang | isFree=1 | isDrm=0
ID=49 | Name=Đà Nẵng 1 | Slug=da-nang-1 | isFree=1 | isDrm=0
ID=51 | Name=Đắk Lắk | Slug=dak-lak | isFree=1 | isDrm=0
ID=52 | Name=Điện Biên | Slug=dien-bien | isFree=1 | isDrm=0
ID=53 | Name=Đồng Nai 1 | Slug=dong-nai-1 | isFree=1 | isDrm=0
ID=54 | Name=Đồng Tháp 1 | Slug=dong-thap-1 | isFree=1 | isDrm=0
ID=55 | Name=Gia Lai | Slug=gia-lai | isFree=1 | isDrm=0
ID=58 | Name=Hà Tĩnh | Slug=ha-tinh | isFree=1 | isDrm=0
ID=59 | Name=Hải Phòng 3 | Slug=hai-phong-3 | isFree=1 | isDrm=0
ID=6 | Name=VTV7 HD | Slug=vtv7-hd | isFree=0 | isDrm=0
ID=60 | Name=Hải Phòng | Slug=hai-phong | isFree=1 | isDrm=0
ID=61 | Name=Cần Thơ 2 | Slug=can-tho-2 | isFree=1 | isDrm=0
ID=63 | Name=Huế | Slug=hue | isFree=1 | isDrm=0
ID=64 | Name=Hưng Yên | Slug=hung-yen | isFree=1 | isDrm=0
ID=65 | Name=Khánh Hòa | Slug=khanh-hoa | isFree=1 | isDrm=0
ID=66 | Name=An Giang 1 | Slug=an-giang-1 | isFree=1 | isDrm=0
ID=68 | Name=Lai Châu | Slug=lai-chau | isFree=1 | isDrm=0
ID=69 | Name=Lâm Đồng 1 | Slug=lam-dong-1 | isFree=1 | isDrm=0
ID=70 | Name=Lạng Sơn | Slug=lang-son | isFree=1 | isDrm=0
ID=71 | Name=Lào Cai | Slug=lao-cai | isFree=1 | isDrm=0
ID=72 | Name=Tây Ninh 1 | Slug=tay-ninh-1 | isFree=1 | isDrm=0
ID=74 | Name=Nghệ An | Slug=nghe-an | isFree=1 | isDrm=0
ID=75 | Name=Ninh Bình | Slug=ninh-binh | isFree=1 | isDrm=0
ID=76 | Name=Khánh Hòa 1 | Slug=khanh-hoa-1 | isFree=1 | isDrm=0
ID=77 | Name=Phú Thọ | Slug=phu-tho | isFree=1 | isDrm=0
ID=7808470 | Name=Kênh FM | Slug=kenh-fm | isFree=None | isDrm=None
ID=7808476 | Name=Giải trí | Slug=gii-tri | isFree=None | isDrm=None
ID=7808479 | Name=Thể thao | Slug=th-thao | isFree=None | isDrm=None
ID=80 | Name=Đà Nẵng 2 | Slug=da-nang-2 | isFree=1 | isDrm=0
ID=81 | Name=Quảng Ngãi | Slug=quang-ngai | isFree=1 | isDrm=0
ID=82 | Name=Quảng Ninh 1 | Slug=quang-ninh-1 | isFree=1 | isDrm=0
ID=83 | Name=Quảng Trị | Slug=quang-tri | isFree=1 | isDrm=0
ID=84 | Name=Cần Thơ 3 | Slug=can-tho-3 | isFree=1 | isDrm=0
ID=85 | Name=Sơn La | Slug=son-la | isFree=1 | isDrm=0
ID=88 | Name=Thái Nguyên | Slug=thai-nguyen | isFree=1 | isDrm=0
ID=89 | Name=Thanh Hóa | Slug=thanh-hoa | isFree=1 | isDrm=0
ID=9 | Name=HTV4 | Slug=htv4 | isFree=1 | isDrm=0
